date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:24:33	53613/53613	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2011:25:06%20GMT	https://lmpixels.com/demo/breezycv/darkfw/1/index.html	lmpixels.com/demo/breezycv/darkfw/1/index.html	(from )
12:24:34	214/214	---MC-	302	error ('Found')	text/html	date:Fri,%2029%20Jan%202021%2004:24:34%20GMT	https://lmpixels.com/robots.txt		(from )
12:24:35	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e733e7e-47e%22	https://lmpixels.com/demo/breezycv/darkfw/1/favicon.ico	lmpixels.com/demo/breezycv/darkfw/1/favicon.ico	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:36	585/585	---MCZ	200	added ('OK')	text/css	etag:W/%225e4f9df0-4b3%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/reset.css	lmpixels.com/demo/breezycv/darkfw/1/css/reset.css	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:37	28977/28977	---MCZ	200	added ('OK')	text/css	etag:W/%225b5690ea-7131%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/bootstrap-grid.min.css	lmpixels.com/demo/breezycv/darkfw/1/css/bootstrap-grid.min.css	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:38	37742/37742	---MCZ	200	added ('OK')	text/css	etag:W/%225e4b9a18-a7e5%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/animations.css	lmpixels.com/demo/breezycv/darkfw/1/css/animations.css	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:39	4320/4320	---MCZ	200	added ('OK')	text/css	etag:W/%225e46d326-113b%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/perfect-scrollbar.css	lmpixels.com/demo/breezycv/darkfw/1/css/perfect-scrollbar.css	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:40	2912/2912	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/owl.carousel.css	lmpixels.com/demo/breezycv/darkfw/1/css/owl.carousel.css	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:41	5810/5810	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/magnific-popup.css	lmpixels.com/demo/breezycv/darkfw/1/css/magnific-popup.css	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:42	44241/44241	---MCZ	200	added ('OK')	text/css	etag:W/%225f60a504-edb0%22	https://lmpixels.com/demo/breezycv/darkfw/1/css/main.css	lmpixels.com/demo/breezycv/darkfw/1/css/main.css	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:43	9358/9358	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b7e0e-257f%22	https://lmpixels.com/demo/breezycv/darkfw/1/js/modernizr.custom.js	lmpixels.com/demo/breezycv/darkfw/1/js/modernizr.custom.js	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:44	51128/51128	---M--	200	added ('OK')	image/png	etag:%225f674fe4-c7b8%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/main_bg.png	lmpixels.com/demo/breezycv/darkfw/1/img/main_bg.png	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:45	34406/34406	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-8666%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/main_photo.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/main_photo.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:45	23988/23988	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-5db4%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/testimonials/testimonial-1.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/testimonials/testimonial-1.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:46	14861/14861	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-3a0d%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/testimonials/testimonial-2.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/testimonials/testimonial-2.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:47	21287/21287	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-5327%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/testimonials/testimonial-3.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/testimonials/testimonial-3.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:48	2783/2783	---M--	200	added ('OK')	image/png	etag:%225f674fe4-adf%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-1.png	lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-1.png	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:49	2295/2295	---M--	200	added ('OK')	image/png	etag:%225f674fe4-8f7%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-2.png	lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-2.png	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:50	3079/3079	---M--	200	added ('OK')	image/png	etag:%225f674fe4-c07%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-3.png	lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-3.png	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:51	2528/2528	---M--	200	added ('OK')	image/png	etag:%225f674fe4-9e0%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-4.png	lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-4.png	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:52	2808/2808	---M--	200	added ('OK')	image/png	etag:%225f674fe4-af8%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-5.png	lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-5.png	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:53	1500/1500	---M--	200	added ('OK')	image/png	etag:%225f674fe4-5dc%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-6.png	lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-6.png	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:54	2125/2125	---M--	200	added ('OK')	image/png	etag:%225f674fe4-84d%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-7.png	lmpixels.com/demo/breezycv/darkfw/1/img/clients/client-7.png	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
12:24:56	108090/108090	---M--	200	added ('OK')	image/jpeg	etag:%225f674fe4-1a63a%22	https://lmpixels.com/demo/breezycv/darkfw/1/img/portfolio/1.jpg	lmpixels.com/demo/breezycv/darkfw/1/img/portfolio/1.jpg	(from https://lmpixels.com/demo/breezycv/darkfw/1/index.html)
